,name_2,root_1,pitch_class_smaller,edo_note_number,cents_diff,matched_pitch_class,n_edo
4,just diatonic,G,C,4,35.28833419872077,C,9
5,just diatonic,G,D,5,-35.28833419872091,D,9
7,just diatonic,G,E,7,48.97462033388541,E,9
8,just diatonic,G,F,7,-62.75666493589183,E,9
0,just diatonic,A,A,0,0.0,A,9
2,just diatonic,A,C,2,-48.9746203338858,C,9
3,just diatonic,A,B,2,62.756664935891884,C,9
5,just diatonic,A,D,4,13.782044602006016,D,9
6,just diatonic,A,E,5,-35.28833419872071,E,9
7,just diatonic,A,F,6,-13.686286135164918,F,9
9,just diatonic,A,G,8,49.07037880072658,G#,9
0,just diatonic,B,B,0,0.0,B,9
1,just diatonic,B,C,1,21.602048063555493,C,9
2,just diatonic,B,D,2,-48.974620333886,D,9
4,just diatonic,B,E,4,35.288334198720385,E,9
5,just diatonic,B,F,5,56.89038226227648,F#,9
6,just diatonic,B,G,6,-13.6862861351655,G,9
7,just diatonic,B,A,7,-62.75666493589223,G#,9
0,just diatonic,C,C,0,0.0,C,10
2,just diatonic,C,D,2,36.08999826922522,D,10
3,just diatonic,C,E,3,-26.313713864834934,E,10
4,just diatonic,C,F,4,-18.044999134612468,F,10
6,just diatonic,C,G,6,18.044999134612222,G,10
7,just diatonic,C,A,7,-44.35871299944766,G#,10
9,just diatonic,C,B,9,-8.268714730222182,B,10
0,just diatonic,D,D,0,0.0,D,10
2,just diatonic,D,E,2,57.59628786594012,E,10
3,just diatonic,D,F,2,-54.134997403837495,E,10
5,just diatonic,D,G,4,-18.044999134612468,G,10
7,just diatonic,D,A,6,39.55128873132722,A,10
8,just diatonic,D,B,7,-44.35871299944727,A#,10
9,just diatonic,D,C,8,-36.08999826922519,C,10
0,just diatonic,E,E,0,0.0,E,10
1,just diatonic,E,F,1,8.26871473022266,F,10
3,just diatonic,E,G,3,44.3587129994475,G,10
4,just diatonic,E,A,4,-18.044999134612663,A,10
6,just diatonic,E,B,6,18.044999134612603,B,10
7,just diatonic,E,C,7,26.313713864835044,C,10
8,just diatonic,E,D,8,-57.596287865939786,C#,10
0,just diatonic,F,F,0,0.0,F,10
2,just diatonic,F,G,2,36.08999826922522,G,10
3,just diatonic,F,A,3,-26.31371386483513,A,10
5,just diatonic,F,B,5,9.776284404390458,B,10
6,just diatonic,F,C,6,18.044999134612222,C,10
8,just diatonic,F,D,8,54.13499740383727,D#,10
9,just diatonic,F,E,9,-8.268714730222761,E,10
0,just diatonic,G,G,0,0.0,G,10
2,just diatonic,G,A,2,57.59628786594012,A,10
3,just diatonic,G,B,3,-26.31371386483474,B,10
4,just diatonic,G,C,4,-18.044999134612663,C,10
6,just diatonic,G,D,6,18.044999134612222,D,10
7,just diatonic,G,E,7,-44.35871299944786,D#,10
8,just diatonic,G,F,8,-36.089998269225,F,10
0,just diatonic,A,A,0,0.0,A,10
2,just diatonic,A,B,2,36.089998269225596,B,10
3,just diatonic,A,C,3,44.3587129994475,C,10
4,just diatonic,A,D,4,-39.551288731327546,D,10
6,just diatonic,A,E,6,18.044999134612222,E,10
7,just diatonic,A,F,7,26.313713864835044,F,10
8,just diatonic,A,G,8,-57.59628786593998,F#,10
0,just diatonic,B,B,0,0.0,B,10
1,just diatonic,B,C,1,8.268714730222277,C,10
3,just diatonic,B,D,3,44.3587129994475,D,10
4,just diatonic,B,E,4,-18.044999134612663,E,10
5,just diatonic,B,F,5,-9.776284404390282,F,10
7,just diatonic,B,G,7,26.313713864834664,G,10
8,just diatonic,B,A,8,-36.08999826922539,G#,10
0,just diatonic,C,C,0,0.0,C,11
2,just diatonic,C,D,2,14.27181645104326,D,11
4,just diatonic,C,E,4,50.0499224988014,E,11
5,just diatonic,C,F,5,47.40954631993287,F,11
6,just diatonic,C,G,6,-47.40954631993299,G,11
8,just diatonic,C,A,8,-11.631440272174876,A,11
10,just diatonic,C,B,10,2.640376178868571,B,11
0,just diatonic,D,D,0,0.0,D,11
2,just diatonic,D,E,2,35.778106047758016,E,11
3,just diatonic,D,F,3,33.137729868889686,F,11
5,just diatonic,D,G,5,47.40954631993287,G,11
6,just diatonic,D,A,6,-25.90325672321818,A,11
8,just diatonic,D,B,8,-11.631440272174682,B,11
9,just diatonic,D,C,9,-14.271816451043184,C,11
0,just diatonic,E,E,0,0.0,E,11
1,just diatonic,E,F,1,-2.640376178868224,F,11
3,just diatonic,E,G,3,11.631440272174524,G,11
5,just diatonic,E,A,5,47.409546319932495,A,11
6,just diatonic,E,B,6,-47.409546319932794,A#,11
7,just diatonic,E,C,7,-50.04992249880156,B,11
9,just diatonic,E,D,9,-35.77810604775799,D,11
0,just diatonic,F,F,0,0.0,F,11
2,just diatonic,F,G,2,14.27181645104326,G,11
4,just diatonic,F,A,4,50.049922498801024,A,11
5,just diatonic,F,B,5,-44.76917014106444,A#,11
6,just diatonic,F,C,6,-47.40954631993319,C,11
8,just diatonic,F,D,8,-33.137729868889664,D,11
10,just diatonic,F,E,10,2.6403761788681868,E,11
0,just diatonic,G,G,0,0.0,G,11
2,just diatonic,G,A,2,35.778106047758016,A,11
4,just diatonic,G,B,4,50.0499224988014,B,11
5,just diatonic,G,C,5,47.40954631993287,C,11
6,just diatonic,G,D,6,-47.409546319932794,D,11
8,just diatonic,G,E,8,-11.631440272174682,E,11
9,just diatonic,G,F,9,-14.271816451043184,F,11
0,just diatonic,A,A,0,0.0,A,11
2,just diatonic,A,B,2,14.271816451043641,B,11
3,just diatonic,A,C,3,11.631440272174524,C,11
5,just diatonic,A,D,5,25.903256723217975,D,11
6,just diatonic,A,E,6,-47.40954631993299,D#,11
7,just diatonic,A,F,7,-50.049922498801365,E,11
9,just diatonic,A,G,9,-35.77810604775799,G,11
0,just diatonic,B,B,0,0.0,B,11
1,just diatonic,B,C,1,-2.640376178868994,C,11
3,just diatonic,B,D,3,11.631440272174524,D,11
5,just diatonic,B,E,5,47.409546319932495,E,11
6,just diatonic,B,F,6,44.76917014106428,F,11
7,just diatonic,B,G,7,-50.049922498801756,G,11
9,just diatonic,B,A,9,-14.271816451043572,A,11
0,just diatonic,C,C,0,0.0,C,12
2,just diatonic,C,D,2,-3.9100017307746735,D,12
4,just diatonic,C,E,4,13.686286135165219,E,12
5,just diatonic,C,F,5,1.9550008653876136,F,12
7,just diatonic,C,G,7,-1.9550008653873927,G,12
9,just diatonic,C,A,9,15.641287000552365,A,12
11,just diatonic,C,B,11,11.731285269777747,B,12
0,just diatonic,D,D,0,0.0,D,12
2,just diatonic,D,E,2,17.59628786593992,E,12
3,just diatonic,D,F,3,5.865002596162303,F,12
5,just diatonic,D,G,5,1.9550008653876136,G,12
7,just diatonic,D,A,7,19.55128873132746,A,12
9,just diatonic,D,B,9,15.641287000552746,B,12
10,just diatonic,D,C,10,3.910001730774752,C,12
0,just diatonic,E,E,0,0.0,E,12
1,just diatonic,E,F,1,-11.731285269777231,F,12
3,just diatonic,E,G,3,-15.641287000552529,G,12
5,just diatonic,E,A,5,1.9550008653872297,A,12
7,just diatonic,E,B,7,-1.9550008653872,B,12
8,just diatonic,E,C,8,-13.686286135165112,C,12
10,just diatonic,E,D,10,-17.596287865939992,D,12
0,just diatonic,F,F,0,0.0,F,12
2,just diatonic,F,G,2,-3.910001730774866,G,12
4,just diatonic,F,A,4,13.686286135164837,A,12
6,just diatonic,F,B,6,9.776284404390458,B,12
7,just diatonic,F,C,7,-1.955000865387585,C,12
9,just diatonic,F,D,9,-5.865002596162659,D,12
11,just diatonic,F,E,11,11.731285269777365,E,12
0,just diatonic,G,G,0,0.0,G,12
2,just diatonic,G,A,2,17.59628786593992,A,12
4,just diatonic,G,B,4,13.686286135165219,B,12
5,just diatonic,G,C,5,1.9550008653876136,C,12
7,just diatonic,G,D,7,-1.955000865387585,D,12
9,just diatonic,G,E,9,15.641287000552365,E,12
10,just diatonic,G,F,10,3.9100017307751354,F,12
0,just diatonic,A,A,0,0.0,A,12
2,just diatonic,A,B,2,-3.9100017307744803,B,12
3,just diatonic,A,C,3,-15.641287000552529,C,12
5,just diatonic,A,D,5,-19.55128873132752,D,12
7,just diatonic,A,E,7,-1.9550008653873927,E,12
8,just diatonic,A,F,8,-13.686286135164918,F,12
10,just diatonic,A,G,10,-17.596287865939992,G,12
0,just diatonic,B,B,0,0.0,B,12
1,just diatonic,B,C,1,-11.731285269777812,C,12
3,just diatonic,B,D,3,-15.641287000552722,D,12
5,just diatonic,B,E,5,1.9550008653872297,E,12
6,just diatonic,B,F,6,-9.776284404390282,F,12
8,just diatonic,B,G,8,-13.6862861351655,G,12
10,just diatonic,B,A,10,3.910001730774752,A,12
0,just diatonic,C,C,0,0.0,C,13
2,just diatonic,C,D,2,-19.294617115390434,D,13
4,just diatonic,C,E,4,-17.08294463406585,E,13
5,just diatonic,C,F,5,-36.50653759615082,F,13
8,just diatonic,C,G,8,36.506537596151034,G,13
10,just diatonic,C,A,10,38.71821007747567,A,13
12,just diatonic,C,B,12,19.42359296208574,B,13
0,just diatonic,D,D,0,0.0,D,13
2,just diatonic,D,E,2,2.211672481324351,E,13
3,just diatonic,D,F,3,-17.211920480760636,F,13
5,just diatonic,D,G,5,-36.50653759615102,G,13
7,just diatonic,D,A,7,-34.29486511482638,A,13
10,just diatonic,D,B,10,38.71821007747567,B,13
11,just diatonic,D,C,11,19.294617115390093,C,13
0,just diatonic,E,E,0,0.0,E,13
1,just diatonic,E,F,1,-19.42359296208528,F,13
3,just diatonic,E,G,3,-38.718210077475696,G,13
5,just diatonic,E,A,5,-36.50653759615102,G#,13
8,just diatonic,E,B,8,36.506537596151034,B,13
9,just diatonic,E,C,9,17.082944634065832,C,13
11,just diatonic,E,D,11,-2.2116724813245576,D,13
0,just diatonic,F,F,0,0.0,F,13
2,just diatonic,F,G,2,-19.29461711539063,G,13
4,just diatonic,F,A,4,-17.082944634066045,A,13
6,just diatonic,F,B,6,-36.37756174945586,B,13
8,just diatonic,F,C,8,36.50653759615066,C,13
10,just diatonic,F,D,10,17.211920480760515,D,13
12,just diatonic,F,E,12,19.42359296208536,E,13
0,just diatonic,G,G,0,0.0,G,13
2,just diatonic,G,A,2,2.211672481324351,A,13
4,just diatonic,G,B,4,-17.082944634065463,B,13
5,just diatonic,G,C,5,-36.50653759615102,C,13
8,just diatonic,G,D,8,36.506537596151034,D,13
10,just diatonic,G,E,10,38.71821007747567,E,13
11,just diatonic,G,F,11,19.294617115390093,F,13
0,just diatonic,A,A,0,0.0,A,13
2,just diatonic,A,B,2,-19.29461711539024,B,13
3,just diatonic,A,C,3,-38.718210077475696,C,13
6,just diatonic,A,D,6,34.29486511482648,D,13
8,just diatonic,A,E,8,36.506537596151034,E,13
9,just diatonic,A,F,9,17.082944634065832,F,13
11,just diatonic,A,G,11,-2.2116724813245576,G,13
0,just diatonic,B,B,0,0.0,B,13
1,just diatonic,B,C,1,-19.42359296208528,C,13
3,just diatonic,B,D,3,-38.71821007747588,D,13
5,just diatonic,B,E,5,-36.50653759615141,D#,13
7,just diatonic,B,F,7,36.37756174945571,F,13
9,just diatonic,B,G,9,17.08294463406545,G,13
11,just diatonic,B,A,11,19.294617115390093,A,13
0,just diatonic,C,C,0,0.0,C,14
2,just diatonic,C,D,2,-32.481430302203606,D,14
5,just diatonic,C,E,5,42.25771470659343,E,14
6,just diatonic,C,F,6,16.240715151101934,F,14
8,just diatonic,C,G,8,-16.240715151101515,G,14
10,just diatonic,C,A,10,-27.215855856590313,A,14
13,just diatonic,C,B,13,26.01699955549184,B,14
0,just diatonic,D,D,0,0.0,D,14
2,just diatonic,D,E,2,-10.975140705488768,E,14
3,just diatonic,D,F,3,-36.99214026098051,F,14
6,just diatonic,D,G,6,16.24071515110155,G,14
8,just diatonic,D,A,8,5.265574445613126,A,14
10,just diatonic,D,B,10,-27.215855856590114,B,14
12,just diatonic,D,C,12,32.481430302203556,C,14
0,just diatonic,E,E,0,0.0,E,14
1,just diatonic,E,F,1,-26.016999555491584,F,14
4,just diatonic,E,G,4,27.215855856590174,G,14
6,just diatonic,E,A,6,16.24071515110155,A,14
8,just diatonic,E,B,8,-16.240715151101515,B,14
9,just diatonic,E,C,9,-42.25771470659349,C,14
12,just diatonic,E,D,12,10.975140705488421,D,14
0,just diatonic,F,F,0,0.0,F,14
2,just diatonic,F,G,2,-32.481430302203606,G,14
5,just diatonic,F,A,5,42.25771470659343,A,14
7,just diatonic,F,B,7,9.776284404390458,B,14
8,just diatonic,F,C,8,-16.240715151101902,C,14
11,just diatonic,F,D,11,36.99214026098014,D,14
13,just diatonic,F,E,13,26.016999555491463,E,14
0,just diatonic,G,G,0,0.0,G,14
2,just diatonic,G,A,2,-10.975140705488768,A,14
5,just diatonic,G,B,5,42.2577147065938,B,14
6,just diatonic,G,C,6,16.24071515110155,C,14
8,just diatonic,G,D,8,-16.240715151101707,D,14
10,just diatonic,G,E,10,-27.215855856590313,E,14
12,just diatonic,G,F,12,32.481430302203556,F,14
0,just diatonic,A,A,0,0.0,A,14
2,just diatonic,A,B,2,-32.481430302203414,B,14
4,just diatonic,A,C,4,27.215855856590174,C,14
6,just diatonic,A,D,6,-5.265574445612954,D,14
8,just diatonic,A,E,8,-16.240715151101902,E,14
9,just diatonic,A,F,9,-42.25771470659329,F,14
12,just diatonic,A,G,12,10.975140705488421,G,14
0,just diatonic,B,B,0,0.0,B,14
1,just diatonic,B,C,1,-26.01699955549197,C,14
4,just diatonic,B,D,4,27.215855856590174,D,14
6,just diatonic,B,E,6,16.24071515110155,E,14
7,just diatonic,B,F,7,-9.776284404390282,F,14
9,just diatonic,B,G,9,-42.25771470659368,G,14
12,just diatonic,B,A,12,32.48143030220318,A,14
0,just diatonic,C,C,0,0.0,C,15
3,just diatonic,C,D,3,36.08999826922522,D,15
5,just diatonic,C,E,5,13.686286135165219,E,15
6,just diatonic,C,F,6,-18.044999134612468,F,15
9,just diatonic,C,G,9,18.044999134612222,G,15
11,just diatonic,C,A,11,-4.358712999447557,A,15
14,just diatonic,C,B,14,31.731285269777906,B,15
0,just diatonic,D,D,0,0.0,D,15
2,just diatonic,D,E,2,-22.403712134059937,E,15
4,just diatonic,D,F,4,25.865002596162498,F,15
6,just diatonic,D,G,6,-18.044999134612468,G,15
9,just diatonic,D,A,9,39.55128873132722,A,15
11,just diatonic,D,B,11,-4.358712999447173,B,15
12,just diatonic,D,C,12,-36.08999826922519,C,15
0,just diatonic,E,E,0,0.0,E,15
1,just diatonic,E,F,1,-31.73128526977743,F,15
4,just diatonic,E,G,4,4.35871299944751,G,15
6,just diatonic,E,A,6,-18.044999134612663,A,15
9,just diatonic,E,B,9,18.044999134612603,B,15
10,just diatonic,E,C,10,-13.686286135165112,C,15
13,just diatonic,E,D,13,22.403712134060225,D,15
0,just diatonic,F,F,0,0.0,F,15
3,just diatonic,F,G,3,36.08999826922522,G,15
5,just diatonic,F,A,5,13.686286135164837,A,15
7,just diatonic,F,B,7,-30.223715595609807,B,15
9,just diatonic,F,C,9,18.044999134612222,C,15
11,just diatonic,F,D,11,-25.865002596162498,D,15
14,just diatonic,F,E,14,31.731285269777526,E,15
0,just diatonic,G,G,0,0.0,G,15
2,just diatonic,G,A,2,-22.403712134060324,A,15
5,just diatonic,G,B,5,13.686286135165219,B,15
6,just diatonic,G,C,6,-18.044999134612663,C,15
9,just diatonic,G,D,9,18.044999134612222,D,15
11,just diatonic,G,E,11,-4.358712999447557,E,15
12,just diatonic,G,F,12,-36.089998269225,F,15
0,just diatonic,A,A,0,0.0,A,15
3,just diatonic,A,B,3,36.089998269225596,B,15
4,just diatonic,A,C,4,4.35871299944751,C,15
6,just diatonic,A,D,6,-39.551288731327546,D,15
9,just diatonic,A,E,9,18.044999134612222,E,15
10,just diatonic,A,F,10,-13.686286135164918,F,15
13,just diatonic,A,G,13,22.403712134060225,G,15
0,just diatonic,B,B,0,0.0,B,15
1,just diatonic,B,C,1,-31.731285269778017,C,15
4,just diatonic,B,D,4,4.35871299944751,D,15
6,just diatonic,B,E,6,-18.044999134612663,E,15
8,just diatonic,B,F,8,30.223715595610045,F,15
10,just diatonic,B,G,10,-13.6862861351655,G,15
12,just diatonic,B,A,12,-36.08999826922539,G#,15
0,just diatonic,C,C,0,0.0,C,16
3,just diatonic,C,D,3,21.089998269224942,D,16
5,just diatonic,C,E,5,-11.313713864835114,E,16
7,just diatonic,C,F,7,26.955000865387415,F,16
9,just diatonic,C,G,9,-26.95500086538738,G,16
12,just diatonic,C,A,12,15.641287000552365,A,16
15,just diatonic,C,B,15,36.73128526977796,B,16
0,just diatonic,D,D,0,0.0,D,16
2,just diatonic,D,E,2,-32.40371213405997,E,16
4,just diatonic,D,F,4,5.865002596162303,F,16
7,just diatonic,D,G,7,26.955000865387415,G,16
9,just diatonic,D,A,9,-5.448711268672572,A,16
12,just diatonic,D,B,12,15.641287000552746,B,16
13,just diatonic,D,C,13,-21.08999826922529,C,16
0,just diatonic,E,E,0,0.0,E,16
1,just diatonic,E,F,1,-36.731285269777345,F,16
4,just diatonic,E,G,4,-15.641287000552529,G,16
7,just diatonic,E,A,7,26.955000865387415,A,16
9,just diatonic,E,B,9,-26.955000865387184,B,16
11,just diatonic,E,C,11,11.31371386483479,C,16
14,just diatonic,E,D,14,32.403712134060164,D,16
0,just diatonic,F,F,0,0.0,F,16
3,just diatonic,F,G,3,21.089998269224942,G,16
5,just diatonic,F,A,5,-11.313713864835309,A,16
8,just diatonic,F,B,8,9.776284404390458,B,16
9,just diatonic,F,C,9,-26.955000865387575,C,16
12,just diatonic,F,D,12,-5.865002596162659,D,16
15,just diatonic,F,E,15,36.73128526977759,E,16
0,just diatonic,G,G,0,0.0,G,16
2,just diatonic,G,A,2,-32.40371213406017,A,16
5,just diatonic,G,B,5,-11.31371386483492,B,16
7,just diatonic,G,C,7,26.95500086538704,C,16
9,just diatonic,G,D,9,-26.95500086538738,D,16
12,just diatonic,G,E,12,15.641287000552365,E,16
13,just diatonic,G,F,13,-21.0899982692251,F,16
0,just diatonic,A,A,0,0.0,A,16
3,just diatonic,A,B,3,21.089998269225323,B,16
4,just diatonic,A,C,4,-15.641287000552529,C,16
7,just diatonic,A,D,7,5.4487112686724934,D,16
9,just diatonic,A,E,9,-26.95500086538738,E,16
11,just diatonic,A,F,11,11.313713864835172,F,16
14,just diatonic,A,G,14,32.403712134060164,G,16
0,just diatonic,B,B,0,0.0,B,16
1,just diatonic,B,C,1,-36.731285269777935,C,16
4,just diatonic,B,D,4,-15.641287000552722,D,16
7,just diatonic,B,E,7,26.95500086538704,E,16
8,just diatonic,B,F,8,-9.776284404390282,F,16
11,just diatonic,B,G,11,11.31371386483479,G,16
13,just diatonic,B,A,13,-21.08999826922529,A,16
0,just diatonic,C,C,0,0.0,C,17
3,just diatonic,C,D,3,7.854704151578286,D,17
5,just diatonic,C,E,5,-33.37253739424656,E,17
7,just diatonic,C,F,7,-3.9273520757888494,F,17
10,just diatonic,C,G,10,3.9273520757892872,G,17
13,just diatonic,C,A,13,33.288345824081745,A,17
15,just diatonic,C,B,15,-29.445185318457533,B,17
0,just diatonic,D,D,0,0.0,D,17
3,just diatonic,D,E,3,29.360993748293197,E,17
4,just diatonic,D,F,4,-11.782056227366859,F,17
7,just diatonic,D,G,7,-3.9273520757888494,G,17
10,just diatonic,D,A,10,25.43364167250397,A,17
13,just diatonic,D,B,13,33.28834582408212,B,17
14,just diatonic,D,C,14,-7.854704151578038,C,17
0,just diatonic,E,E,0,0.0,E,17
2,just diatonic,E,F,2,29.44518531845782,F,17
4,just diatonic,E,G,4,-33.288345824081816,G,17
7,just diatonic,E,A,7,-3.927352075789042,A,17
10,just diatonic,E,B,10,3.9273520757892872,B,17
12,just diatonic,E,C,12,33.37253739424673,C,17
14,just diatonic,E,D,14,-29.360993748292838,D,17
0,just diatonic,F,F,0,0.0,F,17
3,just diatonic,F,G,3,7.854704151577903,G,17
5,just diatonic,F,A,5,-33.372537394246756,A,17
8,just diatonic,F,B,8,-25.517833242668626,B,17
10,just diatonic,F,C,10,3.9273520757889036,C,17
13,just diatonic,F,D,13,11.78205622736674,D,17
15,just diatonic,F,E,15,-29.445185318458122,E,17
0,just diatonic,G,G,0,0.0,G,17
3,just diatonic,G,A,3,29.36099374829282,A,17
5,just diatonic,G,B,5,-33.372537394246365,B,17
7,just diatonic,G,C,7,-3.9273520757888494,C,17
10,just diatonic,G,D,10,3.9273520757889036,D,17
13,just diatonic,G,E,13,33.288345824081745,E,17
14,just diatonic,G,F,14,-7.854704151578038,F,17
0,just diatonic,A,A,0,0.0,A,17
3,just diatonic,A,B,3,7.854704151578286,B,17
4,just diatonic,A,C,4,-33.288345824082015,C,17
7,just diatonic,A,D,7,-25.433641672503636,D,17
10,just diatonic,A,E,10,3.9273520757889036,E,17
12,just diatonic,A,F,12,33.37253739424711,F,17
14,just diatonic,A,G,14,-29.360993748293033,G,17
0,just diatonic,B,B,0,0.0,B,17
2,just diatonic,B,C,2,29.445185318457444,C,17
4,just diatonic,B,D,4,-33.288345824082015,D,17
